title,production_company,country,language,running_time,budget,box_office,release_date,imdb,directed_by,produced_by,based_on,distributed_by,release_location
Timmy Failure: Mistakes Were Made,Slow Pony Pictures,United States,English,99.0,42.0,0.0,2020-01-25,6.1,Tom McCarthy,Alexander Dostal,Timmy failure,Disney+,Sundance
Timmy Failure: Mistakes Were Made,Whitaker Entertainment,United States,English,99.0,42.0,0.0,2020-01-25,6.1,Tom McCarthy,Alexander Dostal,Timmy failure,Disney+,Sundance
Onward,Walt Disney Pictures,United States,nan,102.0,175.0,136.4,2020-02-21,7.4,Dan Scanlon,Kori Rae,No based,Walt Disney Studios,Berlinale
Onward,Pixar Animation Studios,United States,nan,102.0,175.0,136.4,2020-02-21,7.4,Dan Scanlon,Kori Rae,No based,Walt Disney Studios,Berlinale
Stargirl,Walt Disney Pictures,United States,English,107.0,0.0,0.0,2020-03-13,7.3,Julia Hart,Kristin Hahn,Stargirl,Disney+,United States
Stargirl,Gotham Group,United States,English,107.0,0.0,0.0,2020-03-13,7.3,Julia Hart,Kristin Hahn,Stargirl,Disney+,United States
Stargirl,Hahnscape Entertainment,United States,English,107.0,0.0,0.0,2020-03-13,7.3,Julia Hart,Kristin Hahn,Stargirl,Disney+,United States
Dolphin Reef,Disneynature,United States,English,78.0,0.0,0.0,2018-03-28,7.5,Alastair Fothergill,Alastair Fothergill,No based,Walt Disney Studios Motion Pictures,France
Elephant,Disneynature,United States,English,89.0,0.0,0.0,2020-04-03,7.2,Mark Linfield,Mark Linfield,No based,Disney+,Unknown
Artemis Fowl,Walt Disney Pictures,United States,English,95.0,125.0,0.0,2020-06-12,4.1,Kenneth Branagh,Kenneth Branagh,Artemis fowl,Walt Disney Studios Motion Pictures,Unknown
Artemis Fowl,TriBeCa Productions,United States,English,95.0,125.0,0.0,2020-06-12,4.1,Kenneth Branagh,Kenneth Branagh,Artemis fowl,Walt Disney Studios Motion Pictures,Unknown
Artemis Fowl,Marzano Films,United States,English,95.0,125.0,0.0,2020-06-12,4.1,Kenneth Branagh,Kenneth Branagh,Artemis fowl,Walt Disney Studios Motion Pictures,Unknown
Hamilton,Walt Disney Pictures,United States,English,160.0,12.5,0.0,2020-07-03,8.7,Thomas Kail,Thomas Kail,Alexander hamilton,Walt Disney Studios Motion Pictures,Unknown
Hamilton,5000 Broadway Productions,United States,English,160.0,12.5,0.0,2020-07-03,8.7,Thomas Kail,Thomas Kail,Alexander hamilton,Walt Disney Studios Motion Pictures,Unknown
Hamilton,Nevis Productions,United States,English,160.0,12.5,0.0,2020-07-03,8.7,Thomas Kail,Thomas Kail,Alexander hamilton,Walt Disney Studios Motion Pictures,Unknown
Hamilton,Old 320 Sycamore Pictures,United States,English,160.0,12.5,0.0,2020-07-03,8.7,Thomas Kail,Thomas Kail,Alexander hamilton,Walt Disney Studios Motion Pictures,Unknown
Hamilton,RadicalMedia,United States,English,160.0,12.5,0.0,2020-07-03,8.7,Thomas Kail,Thomas Kail,Alexander hamilton,Walt Disney Studios Motion Pictures,Unknown
Black Is King,Parkwood Entertainment,United States,English,85.0,0.0,0.0,2020-07-31,5.4,Beyoncé Knowles-Carter,Jeremy Sullivan,The lion king: the gift,Disney+,Unknown
Black Is King,Walt Disney Pictures,United States,English,85.0,0.0,0.0,2020-07-31,5.4,Beyoncé Knowles-Carter,Jeremy Sullivan,The lion king: the gift,Disney+,Unknown
Magic Camp,Walt Disney Pictures,United States,English,100.0,24.0,0.0,2020-08-14,6.3,Mark Waters,Suzanne Todd,No based,Walt Disney Studios Motion Pictures,Unknown
Magic Camp,Team Todd,United States,English,100.0,24.0,0.0,2020-08-14,6.3,Mark Waters,Suzanne Todd,No based,Walt Disney Studios Motion Pictures,Unknown
The One and Only Ivan,Walt Disney Pictures,United States,English,95.0,0.0,0.0,2020-08-21,6.7,Thea Sharrock,Angelina Jolie,The one and only ivan,Walt Disney Studios Motion Pictures,United States
The One and Only Ivan,Jolie Pas Productions,United States,English,95.0,0.0,0.0,2020-08-21,6.7,Thea Sharrock,Angelina Jolie,The one and only ivan,Walt Disney Studios Motion Pictures,United States
Mulan,Walt Disney Pictures,United States,English,115.0,200.0,57.0,2020-03-09,7.6,Niki Caro,Chris Bender,Mulan,Walt Disney Studios Motion Pictures,Hollywood
Mulan,Jason T. Reed Productions,United States,English,115.0,200.0,57.0,2020-03-09,7.6,Niki Caro,Chris Bender,Mulan,Walt Disney Studios Motion Pictures,Hollywood
Mulan,Good Fear Productions,United States,English,115.0,200.0,57.0,2020-03-09,7.6,Niki Caro,Chris Bender,Mulan,Walt Disney Studios Motion Pictures,Hollywood
Clouds,nan,United States,English,96.0,0.0,0.0,2020-10-16,6.6,Justin Baldoni,Justin Baldoni,"Fly a little higher: how god answered a moms small prayer in a big way,",Disney+,Unknown
Soul,Walt Disney Pictures,United States,English,96.0,150.0,0.0,2020-10-15,7.0,Pete Docter,Dana Murray,No based,Walt Disney Studios,Rome Film Festival
Soul,Pixar Animation Studios,United States,English,96.0,150.0,0.0,2020-10-15,7.0,Pete Docter,Dana Murray,No based,Walt Disney Studios,Rome Film Festival
Raya and the Last Dragon,Walt Disney Pictures,United States,English,96.0,0.0,0.0,2021-03-12,6.7,Don Hall,Osnat Shurer,No based,Walt Disney Studios,Unknown
Raya and the Last Dragon,Walt Disney Animation Studios,United States,English,96.0,0.0,0.0,2021-03-12,6.7,Don Hall,Osnat Shurer,No based,Walt Disney Studios,Unknown
Cruella,Walt Disney Pictures,United States,English,96.0,0.0,0.0,2021-05-28,6.7,Craig Gillespie,Kristin Burr,One hundred and one dalmatians,Walt Disney Studios Motion Pictures,United States
Cruella,Gunn Films,United States,English,96.0,0.0,0.0,2021-05-28,6.7,Craig Gillespie,Kristin Burr,One hundred and one dalmatians,Walt Disney Studios Motion Pictures,United States
Cruella,Marc Platt Productions,United States,English,96.0,0.0,0.0,2021-05-28,6.7,Craig Gillespie,Kristin Burr,One hundred and one dalmatians,Walt Disney Studios Motion Pictures,United States
Jungle Cruise,Walt Disney Pictures,United States,English,96.0,0.0,0.0,2021-07-30,6.7,Jaume Collet-Serra,John Davis,Jungle cruise,Walt Disney Studios Motion Pictures,United States
Jungle Cruise,Davis Entertainment,United States,English,96.0,0.0,0.0,2021-07-30,6.7,Jaume Collet-Serra,John Davis,Jungle cruise,Walt Disney Studios Motion Pictures,United States
Jungle Cruise,Seven Bucks Productions,United States,English,96.0,0.0,0.0,2021-07-30,6.7,Jaume Collet-Serra,John Davis,Jungle cruise,Walt Disney Studios Motion Pictures,United States
Jungle Cruise,Flynn Picture Company,United States,English,96.0,0.0,0.0,2021-07-30,6.7,Jaume Collet-Serra,John Davis,Jungle cruise,Walt Disney Studios Motion Pictures,United States
The Beatles: Get Back,nan,United Kingdom,English,96.0,0.0,0.0,2021-08-27,8.0,Peter Jackson,Peter Jackson,No based,Walt Disney Studios,Unknown
The Beatles: Get Back,nan,New Zealand,English,96.0,0.0,0.0,2021-08-27,8.0,Peter Jackson,Peter Jackson,No based,Walt Disney Studios,Unknown
The Beatles: Get Back,nan,United States,English,96.0,0.0,0.0,2021-08-27,8.0,Peter Jackson,Peter Jackson,No based,Walt Disney Studios,Unknown
